"","year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode","party_participation"
"144",2020,"NEW YORK","NY","ALLEGANY",36003,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",14135,20895,20210622,"TOTAL",67.647762622637
"145",2000,"NORTH CAROLINA","NC","ALLEGHANY",37005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2531,4313,20191203,"TOTAL",58.6830512404359
"146",2004,"NORTH CAROLINA","NC","ALLEGHANY",37005,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",2883,4827,20191203,"TOTAL",59.7265382224984
"147",2008,"NORTH CAROLINA","NC","ALLEGHANY",37005,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",3124,5263,20191203,"TOTAL",59.357780733422
"148",2012,"NORTH CAROLINA","NC","ALLEGHANY",37005,"PRESIDENT","MITT ROMNEY","REPUBLICAN",3390,5067,20191203,"TOTAL",66.9034931912374
"149",2016,"NORTH CAROLINA","NC","ALLEGHANY",37005,"PRESIDENT","DONALD TRUMP","REPUBLICAN",3814,5315,20191203,"TOTAL",71.7591721542803
"150",2020,"NORTH CAROLINA","NC","ALLEGHANY",37005,"PRESIDENT","DONALD J TRUMP","REPUBLICAN",3299,6076,20210622,"ONE STOP",54.2955892034233
"151",2000,"PENNSYLVANIA","PA","ALLEGHENY",42003,"PRESIDENT","AL GORE","DEMOCRAT",329963,582478,20191203,"TOTAL",56.6481480845629
"152",2004,"PENNSYLVANIA","PA","ALLEGHENY",42003,"PRESIDENT","JOHN KERRY","DEMOCRAT",368912,645469,20191203,"TOTAL",57.1541003518372
"153",2008,"PENNSYLVANIA","PA","ALLEGHENY",42003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",373153,651380,20191203,"TOTAL",57.2865301360189
"154",2012,"PENNSYLVANIA","PA","ALLEGHENY",42003,"PRESIDENT","BARACK OBAMA","DEMOCRAT",352687,622081,20191203,"TOTAL",56.6947069593831
"155",2016,"PENNSYLVANIA","PA","ALLEGHENY",42003,"PRESIDENT","HILLARY CLINTON","DEMOCRAT",367617,650114,20191203,"TOTAL",56.5465441445654
"156",2020,"PENNSYLVANIA","PA","ALLEGHENY",42003,"PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",429065,719733,20210622,"TOTAL",59.6144681430475
"157",2000,"KENTUCKY","KY","ALLEN",21003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",4415,6429,20191203,"TOTAL",68.6731995644735
"158",2004,"KENTUCKY","KY","ALLEN",21003,"PRESIDENT","GEORGE W. BUSH","REPUBLICAN",5202,7163,20191203,"TOTAL",72.6232025687561
"159",2008,"KENTUCKY","KY","ALLEN",21003,"PRESIDENT","JOHN MCCAIN","REPUBLICAN",5258,7390,20191203,"TOTAL",71.1502029769959
"160",2012,"KENTUCKY","KY","ALLEN",21003,"PRESIDENT","MITT ROMNEY","REPUBLICAN",5184,7100,20191203,"TOTAL",73.0140845070423
"161",2016,"KENTUCKY","KY","ALLEN",21003,"PRESIDENT","DONALD TRUMP","REPUBLICAN",6466,8096,20191203,"TOTAL",79.8666007905138
